slide_id,label
25678,1
25680,1
25682,1
59450,1
59471,1
59473,1
71068,1
48877,1
48892,1
48928,1
48958,1
48963,1
48973,1
48978,1
48982,1
70686,1
70688,1
35207,1
30759,1
30761,1
30763,1
30783,0
30803,1
30807,1
30813,1
30862,1
30865,1
30867,1
8271,0
8280,0
8313,0
8345,0
8420,0
8439,0
8454,0
43805,0
44184,1
44318,1
53470,1
53474,1
53510,1
53512,1
53515,1
40645,1
3243,0
3246,0
3284,0
3286,0
3402,0
3599,0
70554,1
33986,1
34085,1
57831,1
57836,1
57857,1
57925,1
57934,1
57937,1
58009,1
58020,1
58030,1
58036,1
58047,1
56647,1
66141,1
66148,1
66156,1
66160,1
66167,1
66171,1
66183,1
66187,1
66195,1
70945,1
66211,1
70946,1
66507,1
66341,1
66345,1
66351,1
70977,1
66368,1
66372,1
66376,1
66380,1
6287,1
6291,1
6294,1
6296,1
6301,1
6372,1
6374,1
6375,1
6396,1
6397,1
6403,1
6404,1
6408,1
36094,1
36200,1
36206,1
36232,1
36239,1
36259,1
36297,1
36310,1
36335,1
36355,1
36362,1
36381,1
36388,1
36460,1
37656,1
37679,1
37683,1
37707,1
37721,1
37735,1
37754,1
37758,1
37763,1
37772,1
37777,1
37791,1
37796,1
37801,1
37811,1
48790,1
48805,1
48838,1
48863,1
48872,1
48901,1
48910,1
48933,1
48943,1
43893,1
43901,1
47485,1
47493,1
47497,1
26024,0
3281,0
25384,0
4690,0
4776,0
27706,0
27753,0
27852,0
4835,0
5361,0
29527,0
29847,0
7387,0
30313,0
30381,0
8785,0
8788,0
31069,0
31127,0
31149,0
31150,0
10109,0
10115,0
10304,0
10482,0
10533,0
10642,0
12982,0
13313,0
32613,0
13326,0
32945,0
11029,0
11038,0
31801,0
31841,0
31845,0
11318,0
11434,0
11729,0
11810,0
13641,0
13649,0
13607,0
13618,0
33580,0
13942,0
13948,0
11662,0
11664,0
32200,0
13968,0
14952,0
15438,0
15442,0
15450,0
15457,0
15983,0
16020,0
16257,0
16274,0
18968,0
20378,0
34529,0
34531,0
24198,0
24208,0
24946,0
24949,0
24954,0
24964,0
24968,0
35478,0
35498,0
35502,0
35524,0
35527,0
35531,0
59981,0
59972,0
60000,0
41691,0
41384,0
41694,0
41697,0
41716,0
42034,0
42054,0
42056,0
42067,0
42381,0
42412,0
43084,0
43093,0
43767,0
43768,0
43769,0
43773,0
43777,0
44150,0
44827,0
44093,0
44341,0
44766,0
44773,0
44790,0
44891,0
44899,0
44906,0
44915,0
44923,0
45228,0
45514,0
45522,0
45531,0
51804,0
52346,0
45961,0
45975,0
45993,0
45995,0
46004,0
46295,0
46297,0
46313,0
46316,0
70095,0
47022,0
47048,0
47054,0
47356,0
47360,0
47376,0
47379,0
47400,0
47669,0
47678,0
48010,0
48013,0
48018,0
48020,0
48021,0
61520,0
61747,0
61789,0
61549,0
64984,0
63599,0
63604,0
63940,0
51484,1
51492,1
51495,1
51449,1
51456,1
51502,1
51508,1
51742,1
51751,1
51758,1
51821,1
26001,1
25962,1
25964,1
26079,1
26081,1
26138,1
26458,1
26461,1
6258,1
6362,1
6365,1
6368,1
6371,1
6388,1
6390,1
6394,1
62039,0
48721,0
4759,1
4766,1
4767,1
4786,1
4787,1
4773,1
27724,1
27801,1
27804,1
52320,1
52408,1
52411,1
52339,1
52675,1
52728,1
52735,1
52741,1
52798,1
52805,1
52808,1
52848,1
52850,1
52853,1
52684,1
53645,1
52689,1
52812,1
47466,1
47469,1
47482,1
47484,1
47490,1
47491,1
47083,0
47107,0
47110,0
47127,0
47130,0
47132,0
47159,0
47207,0
47212,0
47410,0
47436,0
47439,0
47455,0
47457,0
47461,0
5373,0
5408,0
28685,1
28687,1
28696,1
28649,0
28708,1
28663,1
28668,1
62343,0
62395,0
62464,0
61591,0
61593,0
4886,1
4917,1
4830,1
4924,1
4927,1
61461,1
61497,1
61499,1
61469,1
61505,1
61479,1
61553,1
